"x"	"y"	"mncanht2023"	"sdcanht2023"
-10	-10	19.2348563861944	5.45847457956319
10	10	20.939793314157	5.11758108381753
30	30	19.5623704020182	4.06340153721191
50	50	21.2934877553381	6.53924301626199
70	70	24.9870311429208	8.85207312115298
90	90	26.0633562651135	4.56269465493777
110	110	30.61108424213	7.58437208576809
130	130	28.1292128843532	10.0337087704069
150	150	26.3270819910188	8.89514482950775
170	170	32.5900318292986	6.94960659966896
190	190	27.8886943845821	8.68095448254262
210	210	29.6529786234691	6.70795960507492
230	230	26.8789500645229	7.55350776790313
250	250	33.6757091367334	7.9819332836925
270	270	33.0815203245541	7.7688277964867
290	290	32.5909050419934	6.92859770296254
310	310	27.5127876721528	7.46788929897887
330	330	18.1140424731262	9.37566463821504
350	350	23.3891129113678	9.83933861764774
370	370	30.3928986459985	6.44457075544111
390	390	26.9894318598315	6.41122970915755
410	410	29.7300180275518	4.52382202732281
430	430	18.013057506437	6.04980180085474
450	450	26.019918865309	7.59158345356881
470	470	27.9912774574069	5.18499557169898
490	490	21.179359333545	9.27271735271158
510	510	19.1425167800789	6.64481892760809
530	-10	29.0023823344678	5.88765845629727
550	10	35.351948842596	4.83799402117896
570	30	39.8002161638838	4.23812675895373
590	50	35.3302024439761	7.78642088766737
610	70	34.0823160669618	7.21092963566504
630	90	25.0793308734177	9.06730453743312
650	110	39.3460282274595	4.70412447006597
670	130	33.7274860590502	7.47596825579849
690	150	19.7218256632487	11.2625392261929
710	170	11.297252113132	7.60916853959419
730	190	18.2429399923454	12.2184969991679
750	210	19.2255206191749	10.6013252543414
770	230	17.2436776939908	5.19442520069089
790	250	14.8561375859387	4.79757961963116
810	270	21.6846625612493	10.8161837985594
830	290	19.8283620795152	7.21084315016148
850	310	8.25479610739495	3.95908361259355
870	330	13.2915274652084	7.66003781138948
890	350	18.9482314948749	7.0967019152777
910	370	17.6707328517216	7.37209214773228
930	390	22.5224212791806	9.82076148890567
950	410	20.6249066529238	9.51222392162081
970	430	23.4352654516846	8.97444711125101
990	450	16.9218603117902	10.9763254254102
1010	470	22.5878850974176	13.2641790408127
-10	490	21.079426329378	5.7694502694029
10	510	17.3510768189568	7.72099627634596
30	-10	22.8186597700981	4.40610115620899
50	10	29.7077329497352	4.69976258302764
70	30	26.0863067869397	8.32778835830836
90	50	19.1379292280695	10.3440766798862
110	70	31.1002749567117	4.8922045975506
130	90	30.1928770866508	10.620463431398
150	110	30.9979188920961	6.57052261461968
170	130	31.6768420964746	5.73029419336447
190	150	39.8702791549243	7.52450829776725
210	170	35.3221098671603	7.8645361282827
230	190	25.5403247655208	9.17959648505818
250	210	13.8400751138515	9.75684244597586
270	230	23.6742342679006	9.1667357136881
290	250	36.2263936539984	6.28460787608172
310	270	29.5478068915237	6.42179602544724
330	290	25.2052309757903	11.3517153113143
350	310	28.8421483665853	8.25561178273933
370	330	34.7829908679708	4.39763736784772
390	350	38.2728300403341	7.76364548970511
410	370	35.0985422302973	8.9964476728839
430	390	22.4639006810723	10.9404737561853
450	410	17.3989736161142	11.7321856716817
470	430	18.2712507344523	10.0568954169717
490	450	24.8088138235598	10.1074654417284
510	470	21.7453712327004	10.5107846845201
530	490	30.3840562284407	11.4110944867706
550	510	32.0893675833497	9.42913871187707
570	-10	35.8185969325258	5.99802717116384
590	10	39.7414946259666	5.01532756891546
610	30	26.6489158448538	10.483806449413
630	50	32.2341031927811	7.2756806332146
650	70	29.7904113170999	8.56983968350891
670	90	25.2267826508387	8.56610413904656
690	110	25.4673975356404	7.72182773752307
710	130	27.3838947246896	7.58317721048576
730	150	27.4882486958963	12.4767089491146
750	170	15.8344019036544	7.18966326498403
770	190	15.1432191956718	6.35710652815799
790	210	14.8110177048623	5.33860730044853
810	230	30.9339479471034	10.4141412463422
830	250	18.2708478956024	8.88829660432147
850	270	16.7574061237475	10.4622935434416
870	290	29.8363877100409	6.7904125270996
890	310	17.9349511958163	9.49276307768538
910	330	11.1073005585353	4.07360047909719
930	350	20.703886047636	7.38161330019095
950	370	28.8798891561862	12.717333004928
970	390	11.0631367172953	9.36441213531139
990	410	16.7031346954679	6.4044197255328
1010	430	26.6057833894125	7.56960237972192
-10	450	19.0290999640331	6.61221213887604
10	470	24.0951509841267	7.55151792953127
30	490	25.9546453777112	4.83014750874121
50	510	18.5033786171361	9.23241618614609
70	-10	21.7298197590014	5.0284090492103
90	10	23.4366090806736	8.10377075676607
110	30	27.7285544053564	9.81186471786233
130	50	25.8839191213265	10.6799160571044
150	70	27.5559760600358	5.57449748078229
170	90	22.4674046915124	8.14395628541478
190	110	28.3009766715996	10.8888393914504
210	130	36.8408775140181	5.42518728879233
230	150	25.8939282308387	11.1818850897443
250	170	10.6067058513986	7.48895169872181
270	190	27.3318914206996	7.69644098072524
290	210	34.9351809504489	3.26775117824215
310	230	28.5185205529676	11.2012432136634
330	250	32.6743696203298	9.60714799858224
